,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
23,1,0,1,0,0.8055555555555555,1,1,0,1,0,1,0,0,1,0.4144278606965175,0.4022963304869606,0,1,0,0,0,0,1,0,1,0,0
24,0,0,1,1,0.6805555555555555,1,0,1,1,0,1,0,0,0,0.4114427860696519,0.3405838910685438,0,1,0,0,1,0,0,0,1,0,0
25,1,0,0,0,0.41666666666666663,1,0,1,1,0,0,0,0,1,0.3686567164179105,0.17445188091391647,0,1,0,0,1,0,0,1,0,0,0
26,0,0,1,1,0.6527777777777778,1,1,0,1,0,0,1,1,1,0.8069651741293534,0.5458516039695361,1,0,1,0,1,0,0,0,0,1,0
27,0,0,1,1,0.013888888888888888,0,0,0,1,0,0,0,0,0,0.11890547263681592,0.0013154858066005079,1,1,0,0,1,0,0,0,0,1,0
28,0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.7164179104477613,0.7328236787445189,0,1,0,0,0,0,1,0,1,0,0
29,1,0,0,1,0.2361111111111111,1,0,0,0,0,0,1,1,1,0.4621890547263683,0.12396722824832682,1,1,0,0,1,0,0,0,0,0,1
30,1,1,1,0,0.986111111111111,1,1,1,1,1,1,0,0,1,0.7771144278606966,0.7786925917378262,0,0,1,0,0,0,1,0,1,0,0
31,0,1,1,0,0.027777777777777776,1,0,0,0,1,0,1,1,1,0.7686567164179107,0.018791830140780064,0,0,1,0,1,0,0,0,1,0,0
32,1,0,1,1,0.375,1,0,1,1,1,1,0,0,0,0.47661691542288576,0.21412993307177483,0,1,0,0,0,1,0,0,0,0,1
33,0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.019402985074626847,0.00016155088852988673,0,0,0,1,1,0,0,1,0,0,0
34,0,1,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.2686567164179105,0.003052157858296793,0,1,0,0,1,0,0,1,0,0,0
35,1,0,1,1,1.0,1,1,1,1,0,1,1,0,0,0.8124378109452739,0.8346295868912995,0,0,1,0,0,0,1,1,0,0,0
36,0,0,0,0,0.06944444444444445,1,0,0,0,0,0,0,0,1,0.5119402985074628,0.03439879990768521,1,0,1,0,1,0,0,0,0,1,0
37,1,0,0,0,0.6388888888888888,1,0,0,0,1,0,0,0,1,0.5626865671641792,0.40728132933302574,0,0,1,0,1,0,0,0,1,0,0
38,0,0,0,0,0.4722222222222222,1,1,0,1,1,0,1,1,1,0.8766169154228857,0.40739095315024243,1,0,1,0,1,0,0,0,0,1,0
39,1,0,0,0,0.15277777777777776,1,1,0,0,1,0,1,1,1,0.792039800995025,0.1253865681975537,1,0,1,0,1,0,0,1,0,0,0
40,0,0,1,1,0.1388888888888889,1,0,0,1,0,0,0,0,0,0.31144278606965176,0.05272328640664668,0,1,0,0,0,1,0,0,0,0,1
41,1,0,1,1,0.9722222222222222,1,1,1,1,0,0,1,0,1,0.5069651741293534,0.5600680821601663,0,1,0,0,0,0,1,0,1,0,0
42,1,0,1,1,0.2361111111111111,1,0,0,0,0,0,0,0,0,0.02487562189054727,0.04609393030233096,0,0,0,1,0,1,0,0,0,0,1
43,1,0,0,0,0.875,1,1,1,1,1,1,1,0,1,0.6129353233830847,0.5588102930994693,0,1,0,0,0,0,1,0,1,0,0
44,1,0,1,0,0.18055555555555555,1,1,1,1,0,1,1,0,1,0.5766169154228857,0.11108354488806835,0,1,0,0,1,0,0,0,0,1,0
45,1,0,0,0,0.6805555555555555,1,1,0,0,0,0,0,1,1,0.6592039800995025,0.44863835679667674,0,0,1,0,1,0,0,0,0,1,0
46,0,0,0,0,0.027777777777777776,1,0,0,1,0,0,0,0,0,0.3084577114427861,0.009023771059312258,0,1,0,0,1,0,0,0,0,0,1
47,1,0,0,0,0.027777777777777776,1,0,0,0,0,0,1,0,1,0.6208955223880599,0.014464574198015237,1,0,1,0,1,0,0,0,0,1,0
48,0,0,0,0,0.7222222222222222,1,1,1,0,0,1,1,1,1,0.6119402985074628,0.4845372720978538,0,1,0,0,0,0,1,0,1,0,0
49,1,0,1,1,0.9583333333333333,1,1,1,0,1,1,0,0,1,0.4567164179104479,0.4887260558504502,0,1,0,0,0,0,1,0,1,0,0
50,1,1,0,0,0.5972222222222222,1,1,0,1,0,0,1,0,1,0.7164179104477613,0.4407973690283869,0,0,1,0,1,0,0,0,0,1,0
51,1,0,0,0,0.20833333333333331,1,0,1,1,0,0,1,1,1,0.8044776119402987,0.16242787906762063,1,0,1,0,1,0,0,0,1,0,0
52,1,1,1,0,0.3472222222222222,1,1,1,0,0,1,1,0,1,0.509950248756219,0.20007500576967466,0,1,0,0,1,0,0,0,1,0,0
53,1,1,1,0,0.1111111111111111,1,1,0,1,0,0,0,0,1,0.6208955223880599,0.07090930071543966,1,0,1,0,1,0,0,0,1,0,0
54,1,1,1,1,0.8333333333333333,1,0,1,1,1,1,0,1,1,0.5631840796019901,0.5120643895684285,0,1,0,0,0,1,0,0,1,0,0
55,0,1,0,0,0.25,1,1,0,0,0,0,1,1,1,0.7681592039800997,0.20006346642049394,1,0,1,0,1,0,0,0,0,1,0
56,1,0,1,1,0.875,1,1,1,0,0,0,1,1,1,0.8099502487562191,0.7261020078467575,0,0,1,0,0,1,0,0,1,0,0
57,0,1,1,1,0.9166666666666666,1,1,0,1,1,1,1,1,1,0.8975124378109455,0.8143953381029313,0,0,1,0,0,1,0,0,0,1,0
58,1,0,1,1,0.4722222222222222,1,1,0,0,0,0,0,0,0,0.06666666666666667,0.10102700207708289,0,0,0,1,0,0,1,0,1,0,0
59,1,0,0,0,1.0,1,1,0,0,1,1,1,1,1,0.8880597014925374,0.904096468959151,0,0,1,0,0,0,1,0,1,0,0
60,1,0,1,0,0.6527777777777778,1,1,0,0,1,0,1,1,1,0.8184079601990052,0.5409993076390494,0,0,1,0,1,0,0,0,0,1,0
61,0,0,0,0,0.8333333333333333,1,1,0,1,0,0,1,0,1,0.7129353233830847,0.6268059081467806,0,0,1,0,1,0,0,1,0,0,0
62,0,0,1,0,1.0,0,0,1,1,1,0,0,0,0,0.23731343283582096,0.33962612508654516,0,1,0,0,0,0,1,1,0,0,0
63,1,0,1,1,0.25,1,0,0,0,1,1,0,0,1,0.3597014925373135,0.10827371336256639,0,1,0,0,0,1,0,0,1,0,0
64,1,0,0,0,0.125,1,1,0,0,0,0,1,1,0,0.7577114427860699,0.09675167320563123,1,0,1,0,1,0,0,0,0,1,0
65,1,0,0,0,0.041666666666666664,1,0,0,1,0,1,1,1,1,0.5676616915422886,0.025998153704131093,0,1,0,0,1,0,0,0,0,1,0
66,0,0,1,0,0.6527777777777778,1,1,0,1,0,0,0,0,1,0.6034825870646767,0.4190572351719364,0,0,1,0,0,1,0,0,0,1,0
67,1,0,0,0,0.4305555555555555,1,0,0,1,1,1,1,1,0,0.6064676616915424,0.2859912300946227,0,1,0,0,0,0,1,0,0,0,1
68,1,0,1,1,0.6944444444444444,1,0,0,0,0,0,0,0,0,0.018905472636815888,0.10525040387722136,0,0,0,1,0,0,1,1,0,0,0
69,0,0,0,0,0.1388888888888889,1,0,1,0,1,0,0,0,1,0.6129353233830847,0.1002250173090238,0,0,1,0,1,0,0,0,0,0,1
70,0,0,0,0,0.013888888888888888,1,0,0,0,0,1,0,0,0,0.3064676616915423,0.0034906531271636284,0,1,0,0,1,0,0,0,0,0,1
71,1,0,1,1,0.7222222222222222,1,0,0,0,0,0,0,0,1,0.02139303482587063,0.12368451419339954,0,0,0,1,0,1,0,0,0,1,0
72,0,1,1,1,0.8888888888888888,1,1,1,0,1,1,1,1,1,0.928855721393035,0.8170090006923612,0,0,1,0,0,0,1,1,0,0,0
73,0,0,1,1,0.861111111111111,1,1,0,0,0,0,0,0,1,0.059701492537313425,0.1622201707823679,0,0,0,1,0,0,1,1,0,0,0
74,1,0,0,1,0.041666666666666664,1,0,1,0,0,1,0,1,1,0.46019900497512445,0.01830140780060005,0,1,0,0,1,0,0,1,0,0,0
75,1,1,0,0,0.7777777777777777,1,1,1,1,1,0,1,1,0,0.9179104477611942,0.706288945303485,0,0,1,0,0,1,0,0,0,1,0
76,1,0,0,0,0.6388888888888888,1,0,0,0,0,0,0,1,0,0.3721393034825871,0.3081063927994461,0,1,0,0,0,1,0,0,1,0,0
77,1,0,1,1,0.1111111111111111,1,0,1,1,0,0,0,0,0,0.36218905472636814,0.053479113777982944,0,1,0,0,1,0,0,0,0,0,1
78,0,1,0,0,0.41666666666666663,1,0,1,1,0,0,1,1,1,0.5621890547263683,0.2414608816062775,0,1,0,0,1,0,0,0,0,1,0
79,1,0,1,1,0.625,1,1,0,0,0,0,0,0,1,0.0761194029850746,0.13821832448649898,0,0,0,1,0,1,0,0,1,0,0
80,1,0,0,1,0.013888888888888888,1,0,0,0,0,0,1,0,1,0.6079601990049751,0.006987075928917611,1,0,1,0,1,0,0,0,0,1,0
81,1,0,1,1,0.15277777777777776,0,0,1,0,0,0,1,1,0,0.3213930348258706,0.0630683129471498,0,1,0,0,1,0,0,0,0,1,0
82,1,0,1,0,0.09722222222222221,1,0,0,0,1,0,0,0,1,0.5661691542288558,0.0551696284329564,1,0,1,0,1,0,0,1,0,0,0
83,1,0,0,0,0.5833333333333333,1,0,0,1,1,1,1,1,1,0.8512437810945276,0.4971959381490885,0,0,1,0,1,0,0,1,0,0,0
84,1,0,1,0,0.6805555555555555,1,0,0,0,0,0,0,0,1,0.018905472636815888,0.11014885760443115,0,0,0,1,0,0,1,1,0,0,0
85,0,0,0,0,0.125,1,1,0,1,0,0,1,1,1,0.8064676616915425,0.10384837295176555,0,0,1,0,1,0,0,0,1,0,0
86,1,0,1,0,0.4861111111111111,1,0,1,0,0,0,1,0,1,0.43681592039801,0.25347911377798293,0,1,0,0,0,1,0,1,0,0,0
87,1,0,1,1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0.02388059701492535,0.11980152319409189,0,0,0,1,0,0,1,1,0,0,0
88,1,0,1,1,0.6388888888888888,1,0,0,0,0,0,0,0,1,0.016915422885572132,0.10481190860835453,0,0,0,1,0,0,1,0,0,0,1
89,0,0,1,0,0.40277777777777773,0,0,0,0,0,0,1,0,0,0.15422885572139303,0.11429148396030467,0,1,0,0,1,0,0,0,0,0,1
90,0,0,1,1,0.41666666666666663,1,0,0,1,1,0,0,0,0,0.6348258706467662,0.2944149549965382,0,0,1,0,1,0,0,1,0,0,0
91,0,1,0,0,0.013888888888888888,1,0,0,0,0,1,0,0,0,0.5616915422885573,0.006450496192014773,0,0,1,0,1,0,0,0,0,1,0
92,0,0,1,1,0.9166666666666666,1,1,1,0,1,1,1,1,1,0.6542288557213931,0.6572178629125318,0,1,0,0,0,0,1,0,0,0,1
93,1,0,0,0,0.9027777777777777,1,1,1,1,1,0,1,1,1,0.9233830845771146,0.8179321486268177,0,0,1,0,1,0,0,0,1,0,0
94,0,0,0,0,1.0,1,1,0,1,1,0,1,1,1,0.8223880597014929,0.8585564274174939,0,0,1,0,0,0,1,1,0,0,0
95,1,0,0,0,0.16666666666666666,1,1,1,0,0,0,0,0,1,0.6039800995024877,0.1048407569813063,1,0,1,0,1,0,0,0,0,1,0
96,0,0,1,1,0.986111111111111,1,1,1,1,0,1,0,0,1,0.4835820895522388,0.5457996768982231,0,1,0,0,0,1,0,0,1,0,0
97,0,0,0,0,0.06944444444444445,1,0,0,0,0,0,0,0,0,0.027860696517412943,0.010968151396261254,1,0,0,1,1,0,0,0,0,0,1
98,0,0,0,0,0.7222222222222222,1,0,0,0,0,0,0,0,0,0.027363184079601983,0.1255942764828064,0,0,0,1,0,0,1,1,0,0,0
99,1,1,1,0,0.3472222222222222,1,0,0,1,1,0,1,1,1,0.7985074626865674,0.28798753750288486,1,0,1,0,1,0,0,0,0,1,0
100,0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.019402985074626847,0.00016155088852988673,0,0,0,1,1,0,0,0,0,0,1
101,1,0,1,1,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.011940298507462675,7.500576967459008e-05,0,0,0,1,1,0,0,0,0,1,0
102,0,0,0,0,0.5277777777777778,1,1,0,0,1,1,1,0,0,0.7636815920398012,0.4138933764135704,0,0,1,0,0,1,0,1,0,0,0
103,1,1,1,0,0.9166666666666666,0,0,0,1,1,0,1,0,0,0.27164179104477615,0.34715555042695595,0,1,0,0,0,1,0,1,0,0,0
104,0,0,1,0,0.9444444444444444,1,1,0,1,1,1,1,1,1,0.9129353233830847,0.876188552965613,1,0,1,0,0,0,1,1,0,0,0
105,0,0,0,0,0.06944444444444445,0,0,0,0,0,0,0,0,0,0.060199004975124384,0.009393030233094854,0,1,0,0,1,0,0,0,0,0,1
106,1,0,1,1,1.0,1,1,1,1,0,0,1,1,1,0.8547263681592042,0.8405550426955922,0,0,1,0,0,1,0,0,0,1,0
107,1,0,0,0,0.4444444444444444,0,0,1,0,0,0,0,0,0,0.11840796019900499,0.1048753750288484,0,1,0,0,0,1,0,0,0,0,1
108,0,0,0,0,0.5972222222222222,1,1,0,0,0,0,1,1,0,0.7572139303482589,0.4503231017770599,0,0,1,0,0,1,0,0,0,0,1
109,0,0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.011442786069651713,0.15514078006000465,0,0,0,1,0,0,1,0,1,0,0
110,0,0,1,0,0.7638888888888888,1,1,1,1,0,0,1,0,1,0.7810945273631843,0.6023655665820449,1,0,1,0,1,0,0,0,0,1,0
111,1,0,0,0,0.7222222222222222,1,0,1,0,1,1,0,0,0,0.3950248756218907,0.3488864528040619,0,1,0,0,0,1,0,0,1,0,0
112,1,0,0,0,0.5972222222222222,1,0,0,1,1,0,1,0,1,0.7303482587064678,0.4541080083083315,0,0,1,0,1,0,0,0,0,1,0
113,1,1,1,0,0.5138888888888888,1,1,0,0,0,0,0,0,1,0.5796019900497513,0.32879644588045237,1,0,1,0,1,0,0,0,0,1,0
114,1,0,1,1,0.8888888888888888,0,0,0,1,0,1,1,1,1,0.3616915422885573,0.3928802215555044,0,1,0,0,0,0,1,0,0,1,0
115,0,0,1,1,0.041666666666666664,1,0,1,1,0,0,1,0,0,0.7124378109452737,0.02649434571890146,0,0,1,0,1,0,0,0,0,1,0
116,1,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.12736318407960204,0.12780406185091164,0,1,0,0,0,0,1,1,0,0,0
117,1,0,1,1,0.1388888888888889,1,1,1,0,0,0,1,1,1,0.8159203980099504,0.12068428340641592,1,0,1,0,1,0,0,0,0,1,0
118,1,0,0,0,0.5694444444444444,1,0,0,0,0,0,0,0,0,0.02388059701492535,0.09420147703669517,0,0,0,1,0,0,1,0,0,0,1
119,0,0,1,1,0.375,1,1,0,1,0,1,0,0,1,0.6661691542288558,0.24611123932610207,0,0,1,0,1,0,0,0,1,0,0
120,1,0,1,1,0.7777777777777777,1,1,0,0,1,0,1,1,1,0.8114427860696519,0.6342776367412879,0,0,1,0,0,1,0,0,1,0,0
121,1,0,0,0,0.08333333333333333,1,0,0,0,0,0,0,0,0,0.02437810945273631,0.010841218555273485,0,0,0,1,1,0,0,0,0,0,1
122,0,0,0,0,0.041666666666666664,1,1,0,0,0,0,0,0,1,0.5587064676616917,0.024319178398338342,1,0,1,0,1,0,0,0,0,1,0
123,1,0,1,1,0.09722222222222221,1,0,1,0,0,0,0,0,0,0.3228855721393035,0.038258712208631446,0,1,0,0,1,0,0,0,0,0,1
124,1,0,1,1,0.05555555555555555,1,0,0,0,0,0,0,0,0,0.02587064676616916,0.005088852988691438,0,0,0,1,1,0,0,0,0,0,1
125,0,0,0,0,0.4583333333333333,1,0,1,0,0,1,1,0,1,0.7034825870646767,0.3472017078236788,0,0,1,0,0,0,1,0,0,1,0
126,1,1,0,0,0.375,1,1,0,0,1,0,0,0,1,0.5950248756218907,0.2442534041080084,1,0,1,0,1,0,0,0,0,1,0
127,0,0,1,0,1.0,1,1,0,0,0,0,0,0,1,0.05273631840796021,0.19676321255481197,0,0,0,1,0,0,1,1,0,0,0
128,0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.01492537313432835,0.00010962381721670893,0,0,0,1,1,0,0,0,0,0,1
129,0,1,0,0,0.986111111111111,0,0,1,1,0,0,1,1,1,0.3800995024875623,0.4577140549273022,0,1,0,0,0,1,0,0,0,1,0
130,1,0,0,0,0.18055555555555555,1,1,0,0,0,0,0,1,1,0.67363184079602,0.1381087006692823,0,0,1,0,1,0,0,0,0,1,0
131,1,0,1,1,0.3472222222222222,0,0,1,1,1,0,1,1,1,0.40149253731343293,0.17122663281790912,1,1,0,0,1,0,0,0,1,0,0
132,0,0,0,0,0.9305555555555555,1,0,0,0,0,1,0,0,0,0.3213930348258706,0.37402492499423035,0,1,0,0,0,0,1,1,0,0,0
133,0,0,0,0,0.013888888888888888,0,0,0,0,0,0,0,1,1,0.1711442786069652,0.0019213016385875845,1,1,0,0,1,0,0,0,0,1,0
134,0,0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,0,0.2597014925373135,0.007206323563351029,1,1,0,0,1,0,0,0,0,1,0
135,1,0,0,0,0.5972222222222222,1,1,0,0,0,0,0,0,1,0.07412935323383087,0.13494114931917844,0,0,0,1,0,0,1,0,1,0,0
136,1,0,0,0,0.3194444444444444,1,0,1,0,0,0,0,0,1,0.5646766169154229,0.2030579275328872,0,0,1,0,1,0,0,1,0,0,0
137,1,0,1,1,0.8888888888888888,1,0,0,0,0,0,0,0,0,0.019402985074626847,0.14527463651050085,0,0,0,1,0,0,1,0,0,0,1
138,0,0,0,1,0.7916666666666666,1,0,0,0,0,0,0,0,1,0.013432835820895526,0.13290445418878377,0,0,0,1,0,0,1,0,0,0,1
139,1,1,1,0,0.013888888888888888,1,0,0,0,0,0,0,0,1,0.519402985074627,0.005960073851834758,1,0,1,0,1,0,0,0,0,0,1
140,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,0.6945273631840797,0.7393087929840758,0,1,0,0,0,0,1,0,1,0,0
141,1,0,0,0,0.1111111111111111,1,1,1,0,0,1,0,1,0,0.5263681592039803,0.0628721440110778,1,1,0,0,1,0,0,0,0,1,0
142,1,0,1,0,0.8472222222222222,1,1,0,1,0,0,1,1,1,0.8238805970149256,0.6868739903069468,0,0,1,0,0,0,1,1,0,0,0
143,0,0,0,0,0.8888888888888888,1,1,1,1,0,0,0,0,1,0.6572139303482588,0.6081525501961691,0,0,1,0,0,1,0,0,1,0,0
144,0,1,1,0,0.986111111111111,1,1,0,0,0,0,0,0,0,0.05671641791044775,0.20048465266558974,0,0,0,1,0,0,1,1,0,0,0
145,1,0,1,1,0.9027777777777777,1,1,1,1,0,1,1,0,1,0.8039800995024877,0.7382760212324025,0,0,1,0,0,0,1,0,1,0,0
146,0,0,0,0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0.013432835820895526,0.0049099930763904925,0,0,0,1,0,1,0,0,0,0,1
147,0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,1,0.272636815920398,0.0030983152550196173,1,1,0,0,1,0,0,0,0,1,0
148,0,0,0,1,0.41666666666666663,1,0,0,1,1,0,1,0,0,0.46019900497512445,0.22053427186706678,0,1,0,0,0,1,0,0,1,0,0
149,0,0,1,1,0.20833333333333331,1,0,0,1,1,1,0,1,1,0.509950248756219,0.12146318947611359,0,1,0,0,1,0,0,0,0,0,1
150,1,0,1,1,0.1111111111111111,1,0,0,0,0,1,1,1,1,0.500497512437811,0.06295291945534275,0,1,0,0,1,0,0,0,0,1,0
151,0,0,0,0,0.09722222222222221,1,1,0,0,0,0,1,1,0,0.7636815920398012,0.07347103623355644,1,0,1,0,1,0,0,0,0,0,1
152,1,0,1,1,0.9722222222222222,1,1,1,1,1,0,1,1,1,0.8945273631840799,0.9129644588045237,0,0,1,0,0,1,0,0,1,0,0
153,0,0,1,1,0.861111111111111,1,0,1,1,1,1,1,1,0,0.6751243781094528,0.5996365105008079,0,1,0,0,0,0,1,0,0,1,0
154,1,0,1,1,0.08333333333333333,1,0,0,0,0,0,0,0,0,0.01442786069651739,0.010927763674128782,0,0,0,1,1,0,0,0,0,0,1
155,1,0,1,1,0.19444444444444442,1,0,0,0,0,0,0,1,1,0.6233830845771146,0.13085621970920844,0,0,1,0,1,0,0,1,0,0,0
156,1,0,0,0,0.3055555555555555,1,1,0,0,0,0,1,0,1,0.655721393034826,0.20807177475190405,0,0,1,0,1,0,0,1,0,0,0
157,0,0,1,1,0.3055555555555555,1,0,0,0,0,0,0,0,0,0.018905472636815888,0.04628432956381261,0,0,0,1,0,1,0,0,0,0,1
158,0,0,1,1,0.2222222222222222,1,0,1,0,1,0,1,0,0,0.4577114427860698,0.11599353796445884,0,1,0,0,0,0,1,0,0,0,1
159,0,0,0,0,0.1388888888888889,1,1,0,0,0,0,0,0,0,0.07412935323383087,0.026863604892684058,0,0,0,1,0,0,1,1,0,0,0
160,1,0,0,1,0.18055555555555555,1,0,1,1,0,0,0,0,1,0.3756218905472638,0.08605469651511656,0,1,0,0,1,0,0,0,0,1,0
161,1,0,1,0,0.2777777777777778,1,1,1,0,0,0,0,0,0,0.638308457711443,0.18157742903300256,1,0,1,0,1,0,0,0,0,1,0
162,1,0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,1,0.5119402985074628,0.013431802446342029,0,0,1,0,1,0,0,0,0,1,0
163,0,0,0,0,0.736111111111111,1,1,0,1,1,1,0,1,1,0.5537313432835822,0.45458689129933083,0,1,0,0,0,0,1,1,0,0,0
164,1,0,1,1,0.15277777777777776,1,0,0,0,0,0,0,0,0,0.02338308457711444,0.024821140087699062,0,0,0,1,0,1,0,0,0,0,1
165,0,0,1,0,0.9583333333333333,1,0,0,0,0,0,0,0,0,0.016417910447761173,0.15516385875836608,0,0,0,1,0,0,1,0,0,0,1
166,1,0,0,0,0.05555555555555555,1,0,0,0,0,0,0,0,1,0.5238805970149255,0.02933302561735519,1,0,1,0,1,0,0,1,0,0,0
167,0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.7044776119402986,0.7195534271867068,0,1,0,0,0,0,1,1,0,0,0
168,0,1,1,0,0.8055555555555555,0,0,0,1,1,0,0,1,1,0.2691542288557214,0.3037618278329102,1,1,0,0,1,0,0,0,0,1,0
169,1,0,1,1,0.2222222222222222,1,0,0,0,0,0,0,0,0,0.02139303482587063,0.034918070620817,0,0,0,1,1,0,0,0,0,1,0
170,0,0,1,0,0.5972222222222222,1,0,1,0,1,1,0,0,1,0.6567164179104479,0.4062370182321718,0,0,1,0,0,1,0,1,0,0,0
171,1,0,1,0,0.027777777777777776,1,1,0,0,1,1,1,1,1,0.857213930348259,0.025848142164781915,1,0,1,0,1,0,0,0,0,1,0
172,0,0,1,0,0.19444444444444442,1,0,0,1,1,1,1,1,0,0.6338308457711443,0.13419686129702288,0,1,0,0,0,0,1,0,0,0,1
173,1,0,1,0,0.736111111111111,1,0,0,0,1,0,1,1,1,0.7621890547263683,0.5748211400876991,1,0,1,0,0,1,0,1,0,0,0
174,1,0,0,0,0.4444444444444444,1,0,0,0,0,0,0,0,0,0.022885572139303482,0.07336141241633973,0,0,0,1,0,1,0,1,0,0,0
175,1,0,1,0,0.4722222222222222,1,1,0,0,0,0,0,0,0,0.06417910447761192,0.08786060466189709,0,0,0,1,1,0,0,0,0,1,0
176,1,1,0,0,0.20833333333333331,1,1,0,0,0,0,0,0,1,0.5592039800995026,0.1300369259173783,1,0,1,0,1,0,0,0,0,0,1
